Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1950,2016,67,5306,2650,2656,.499,45,11,0,1
Atlanta Hawks,NBA,1969,2016,48,3888,1952,1936,.502,32,5,0,0
St. Louis Hawks,NBA,1956,1968,13,1005,553,452,.550,12,6,0,1
Milwaukee Hawks,NBA,1952,1955,4,281,91,190,.324,0,0,0,0
Tri-Cities Blackhawks,NBA,1950,1951,2,132,54,78,.409,1,0,0,0
Boston Celtics,NBA/BAA,1947,2016,70,5478,3221,2257,.588,53,30,9,17
Brooklyn Nets,NBA/ABA,1968,2016,49,3976,1734,2242,.436,26,5,2,2
Brooklyn Nets,NBA,2013,2016,4,328,152,176,.463,3,0,,
New Jersey Nets,NBA,1978,2012,35,2822,1186,1636,.420,16,4,2,0
New York Nets,NBA,1977,1977,1,82,22,60,.268,0,0,0,0
New York Nets,ABA,1969,1976,8,666,338,328,.508,7,1,0,2
New Jersey Americans,ABA,1968,1968,1,78,36,42,.462,0,0,0,0
Charlotte Hornets,NBA,1989,2016,26,2084,916,1168,.440,10,0,0,0
Charlotte Hornets,NBA,2015,2016,2,164,81,83,.494,1,0,,
Charlotte Bobcats,NBA,2005,2014,10,804,293,511,.364,2,0,0,0
Charlotte Hornets,NBA,1989,2002,14,1116,542,574,.486,7,0,0,0
Chicago Bulls,NBA,1967,2016,50,4051,2115,1936,.522,34,9,6,6
Cleveland Cavaliers,NBA,1971,2016,46,3724,1728,1996,.464,20,5,3,1
Dallas Mavericks,NBA,1981,2016,36,2904,1482,1422,.510,21,3,2,1
Denver Nuggets,NBA/ABA,1968,2016,49,3976,1976,2000,.497,33,10,0,0
Denver Nuggets,NBA,1977,2016,40,3232,1563,1669,.484,24,7,0,0
Denver Nuggets,ABA,1975,1976,2,168,125,43,.744,2,2,0,0
Denver Rockets,ABA,1968,1974,7,576,288,288,.500,7,1,0,0
Detroit Pistons,NBA/BAA,1949,2016,68,5368,2616,2752,.487,41,11,5,3
Detroit Pistons,NBA,1958,2016,59,4749,2303,2446,.485,33,9,5,3
Fort Wayne Pistons,NBA/BAA,1949,1957,9,619,313,306,.506,8,2,0,0
Golden State Warriors,NBA/BAA,1947,2016,70,5474,2590,2884,.473,32,9,3,4
Golden State Warriors,NBA,1972,2016,45,3642,1702,1940,.467,15,4,3,2
San Francisco Warriors,NBA,1963,1971,9,729,330,399,.453,5,2,0,0
Philadelphia Warriors,NBA/BAA,1947,1962,16,1103,558,545,.506,12,3,0,2
Houston Rockets,NBA,1968,2016,49,3970,2052,1918,.517,30,5,4,2
Houston Rockets,NBA,1972,2016,45,3642,1933,1709,.531,29,5,4,2
San Diego Rockets,NBA,1968,1971,4,328,119,209,.363,1,0,0,0
Indiana Pacers,NBA/ABA,1968,2016,49,3975,2033,1942,.511,32,9,1,3
Indiana Pacers,NBA,1977,2016,40,3231,1606,1625,.497,23,6,1,0
Indiana Pacers,ABA,1968,1976,9,744,427,317,.574,9,3,0,3
Los Angeles Clippers,NBA,1971,2016,46,3724,1469,2255,.394,12,2,0,0
Los Angeles Clippers,NBA,1985,2016,32,2576,1024,1552,.398,9,2,0,0
San Diego Clippers,NBA,1979,1984,6,492,186,306,.378,0,0,0,0
Buffalo Braves,NBA,1971,1978,8,656,259,397,.395,3,0,0,0
Los Angeles Lakers,NBA/BAA,1949,2016,68,5369,3235,2134,.603,60,32,18,16
Los Angeles Lakers,NBA,1961,2016,56,4530,2778,1752,.613,49,28,18,11
Minneapolis Lakers,NBA/BAA,1949,1960,12,839,457,382,.545,11,4,0,5
Memphis Grizzlies,NBA,1996,2016,21,1674,694,980,.415,9,0,0,0
Memphis Grizzlies,NBA,2002,2016,15,1214,593,621,.488,9,0,0,0
